filename,measure_family,sex,data_year,release_date,size_mb
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2007_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2007,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2007_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2007,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2007_MALE_Y2026M03D18.CSV,BURDEN,MALE,2007,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2008_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2008,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2008_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2008,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2008_MALE_Y2026M03D18.CSV,BURDEN,MALE,2008,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2009_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2009,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2009_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2009,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2009_MALE_Y2026M03D18.CSV,BURDEN,MALE,2009,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2010_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2010,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2010_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2010,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2010_MALE_Y2026M03D18.CSV,BURDEN,MALE,2010,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2011_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2011,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2011_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2011,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2011_MALE_Y2026M03D18.CSV,BURDEN,MALE,2011,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2012_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2012,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2012_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2012,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2012_MALE_Y2026M03D18.CSV,BURDEN,MALE,2012,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2013_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2013,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2013_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2013,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2013_MALE_Y2026M03D18.CSV,BURDEN,MALE,2013,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2014_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2014,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2014_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2014,2026-03-18,58.78
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2014_MALE_Y2026M03D18.CSV,BURDEN,MALE,2014,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2015_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2015,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2015_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2015,2026-03-18,58.78
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2015_MALE_Y2026M03D18.CSV,BURDEN,MALE,2015,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2016_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2016,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2016_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2016,2026-03-18,58.78
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2016_MALE_Y2026M03D18.CSV,BURDEN,MALE,2016,2026-03-18,58.22
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2017_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2017,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2017_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2017,2026-03-18,58.78
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2017_MALE_Y2026M03D18.CSV,BURDEN,MALE,2017,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2018_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2018,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2018_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2018,2026-03-18,58.78
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2018_MALE_Y2026M03D18.CSV,BURDEN,MALE,2018,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2019_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2019,2026-03-18,58.2
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2019_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2019,2026-03-18,58.78
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2019_MALE_Y2026M03D18.CSV,BURDEN,MALE,2019,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2000_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2000,2026-03-18,51.35
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_KIDNEY_2000_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2000,2026-03-18,51.95
